| cycle | cells  | dofs   | dofs(space) | dofs(time) | L2                     | 
| 0     | 2048   | 5130   | 10          | 513        | 2.4504008082504476e-02 | 
| 1     | 4096   | 9234   | 18          | 513        | 6.1399340308750409e-03 | 
| 2     | 8192   | 17442  | 34          | 513        | 1.5349330950189702e-03 | 
| 3     | 16384  | 33858  | 66          | 513        | 3.8283221368608678e-04 | 
| 4     | 32768  | 66690  | 130         | 513        | 9.4795300276096837e-05 | 
| 5     | 65536  | 132354 | 258         | 513        | 2.2953667105170673e-05 | 
| 6     | 131072 | 263682 | 514         | 513        | 5.7530895901084682e-06 | 
| 7     | 262144 | 526338 | 1026        | 513        | 3.3124942145373488e-06 | 
