| cycle | cells  | L2                     | L2...red.rate.log2 | L2...  | 
| 0     | 2048   | 2.4504008082504476e-02 | -                  | -      | 
| 1     | 4096   | 6.1399340308750409e-03 | 2.00               | -      | 
| 2     | 8192   | 1.5349330950189702e-03 | 2.00               | 1.9956 | 
| 3     | 16384  | 3.8283221368608678e-04 | 2.00               | 1.9989 | 
| 4     | 32768  | 9.4795300276096837e-05 | 2.01               | 1.9999 | 
| 5     | 65536  | 2.2953667105170673e-05 | 2.05               | 2.0034 | 
| 6     | 131072 | 5.7530895901084682e-06 | 2.00               | 2.0624 | 
| 7     | 262144 | 3.3124942145373488e-06 | 0.80               | 2.8172 | 
