| cycle | cells | L2                     | L2...red.rate.log2 | L2...   | 
| 0     | 128   | 9.0056265943983316e-01 | -                  | -       | 
| 1     | 256   | 1.0522254757409568e+01 | -3.55              | -       | 
| 2     | 512   | 3.0963551734252226e-01 | 5.09               | -0.0860 | 
| 3     | 1024  | 6.3238818587874446e-02 | 2.29               | 5.3732  | 
| 4     | 2048  | 1.5499584769290657e-02 | 2.03               | 2.3677  | 
| 5     | 4096  | 5.0553138903731455e-03 | 1.62               | 2.1925  | 
| 6     | 8192  | 3.5250294081489988e-03 | 0.52               | 2.7708  | 
| 7     | 16384 | 3.4072813896240126e-03 | 0.05               | 3.7000  | 
