| cycle | cells | dofs  | dofs(space) | dofs(time) | L2                     | 
| 0     | 128   | 390   | 130         | 3          | 9.0056265943983316e-01 | 
| 1     | 256   | 650   | 130         | 5          | 1.0522254757409568e+01 | 
| 2     | 512   | 1170  | 130         | 9          | 3.0963551734252226e-01 | 
| 3     | 1024  | 2210  | 130         | 17         | 6.3238818587874446e-02 | 
| 4     | 2048  | 4290  | 130         | 33         | 1.5499584769290657e-02 | 
| 5     | 4096  | 8450  | 130         | 65         | 5.0553138903731455e-03 | 
| 6     | 8192  | 16770 | 130         | 129        | 3.5250294081489988e-03 | 
| 7     | 16384 | 33410 | 130         | 257        | 3.4072813896240126e-03 | 
