| cycle | cells   | dofs    | dofs(space) | dofs(time) | L2                     | 
| 0     | 128     | 330     | 10          | 33         | 1.1838018473584142e+00 | 
| 1     | 512     | 1170    | 18          | 65         | 3.2733501688314248e-01 | 
| 2     | 2048    | 4386    | 34          | 129        | 8.3702909595494271e-02 | 
| 3     | 8192    | 16962   | 66          | 257        | 2.1041295417028091e-02 | 
| 4     | 32768   | 66690   | 130         | 513        | 5.2675267428062833e-03 | 
| 5     | 131072  | 264450  | 258         | 1025       | 1.3173315488330842e-03 | 
| 6     | 524288  | 1053186 | 514         | 2049       | 3.2936099867701761e-04 | 
| 7     | 2097152 | 4203522 | 1026        | 4097       | 8.2342006549948686e-05 | 
