| cycle | cells   | L2                     | L2...red.rate.log2 | L2...  | 
| 0     | 128     | 1.1838018473584142e+00 | -                  | -      | 
| 1     | 512     | 3.2733501688314248e-01 | 1.85               | -      | 
| 2     | 2048    | 8.3702909595494271e-02 | 1.97               | 1.8137 | 
| 3     | 8192    | 2.1041295417028091e-02 | 1.99               | 1.9591 | 
| 4     | 32768   | 5.2675267428062833e-03 | 2.00               | 1.9901 | 
| 5     | 131072  | 1.3173315488330842e-03 | 2.00               | 1.9975 | 
| 6     | 524288  | 3.2936099867701761e-04 | 2.00               | 1.9994 | 
| 7     | 2097152 | 8.2342006549948686e-05 | 2.00               | 1.9998 | 
