| cycle | cells | L2                     | L2...red.rate.log2 | L2...   | 
| 0     | 32    | 9.0483945404056609e-01 | -                  | -       | 
| 1     | 64    | 3.9611433927472739e-01 | 1.19               | -       | 
| 2     | 128   | 7.8444244917028089e-02 | 2.34               | 0.6794  | 
| 3     | 256   | 9.5184427827583865e-02 | -0.28              | 4.2461  | 
| 4     | 512   | 3.4914955432897674e-02 | 1.45               | -1.8481 | 
| 5     | 1024  | 3.2302001385494376e-02 | 0.11               | 4.5277  | 
| 6     | 2048  | 3.1462241483860967e-02 | 0.04               | 1.6376  | 
| 7     | 4096  | 3.1394467821233077e-02 | 0.00               | 3.6312  | 
| 8     | 8192  | 3.1390174714524259e-02 | 0.00               | 3.9806  | 
| 9     | 16384 | 3.1389906501085328e-02 | 0.00               | 4.0006  | 
| 10    | 32768 | 3.1389889745064348e-02 | 0.00               | 4.0006  | 
| 11    | 65536 | 3.1389888700583707e-02 | 0.00               | 4.0038  | 
