| cycle | cells | dofs   | dofs(space) | dofs(time) | L2                     | 
| 0     | 32    | 132    | 66          | 2          | 9.0483945404056609e-01 | 
| 1     | 64    | 198    | 66          | 3          | 3.9611433927472739e-01 | 
| 2     | 128   | 330    | 66          | 5          | 7.8444244917028089e-02 | 
| 3     | 256   | 594    | 66          | 9          | 9.5184427827583865e-02 | 
| 4     | 512   | 1122   | 66          | 17         | 3.4914955432897674e-02 | 
| 5     | 1024  | 2178   | 66          | 33         | 3.2302001385494376e-02 | 
| 6     | 2048  | 4290   | 66          | 65         | 3.1462241483860967e-02 | 
| 7     | 4096  | 8514   | 66          | 129        | 3.1394467821233077e-02 | 
| 8     | 8192  | 16962  | 66          | 257        | 3.1390174714524259e-02 | 
| 9     | 16384 | 33858  | 66          | 513        | 3.1389906501085328e-02 | 
| 10    | 32768 | 67650  | 66          | 1025       | 3.1389889745064348e-02 | 
| 11    | 65536 | 135234 | 66          | 2049       | 3.1389888700583707e-02 | 
