| cycle | cells  | dofs   | dofs(space) | dofs(time) | L2                     | 
| 0     | 2048   | 5130   | 10          | 513        | 2.4505579920506254e-02 | 
| 1     | 4096   | 9234   | 18          | 513        | 6.1415914576438838e-03 | 
| 2     | 8192   | 17442  | 34          | 513        | 1.5366094727322960e-03 | 
| 3     | 16384  | 33858  | 66          | 513        | 3.8452555672611848e-04 | 
| 4     | 32768  | 66690  | 130         | 513        | 9.6539497381599359e-05 | 
| 5     | 65536  | 132354 | 258         | 513        | 2.4879422068827798e-05 | 
| 6     | 131072 | 263682 | 514         | 513        | 8.0497706185566060e-06 | 
| 7     | 262144 | 526338 | 1026        | 513        | 5.2506363488544262e-06 | 
