| cycle | cells | L2                     | L2...red.rate.log2 | L2...   | 
| 0     | 128   | 2.8296185971532766e+00 | -                  | -       | 
| 1     | 256   | 1.7549410752467578e+00 | 0.69               | -       | 
| 2     | 512   | 3.4450890576774257e-01 | 2.35               | -0.3922 | 
| 3     | 1024  | 8.4311894109626001e-02 | 2.03               | 2.4385  | 
| 4     | 2048  | 2.3895617736352504e-02 | 1.82               | 2.1066  | 
| 5     | 4096  | 9.4940274848617483e-03 | 1.33               | 2.0687  | 
| 6     | 8192  | 6.2903146367745705e-03 | 0.59               | 2.1684  | 
| 7     | 16384 | 5.5894746586859761e-03 | 0.17               | 2.1926  | 
