| cycle | cells | dofs  | dofs(space) | dofs(time) | L2                     | 
| 0     | 128   | 390   | 130         | 3          | 2.8296185971532766e+00 | 
| 1     | 256   | 650   | 130         | 5          | 1.7549410752467578e+00 | 
| 2     | 512   | 1170  | 130         | 9          | 3.4450890576774257e-01 | 
| 3     | 1024  | 2210  | 130         | 17         | 8.4311894109626001e-02 | 
| 4     | 2048  | 4290  | 130         | 33         | 2.3895617736352504e-02 | 
| 5     | 4096  | 8450  | 130         | 65         | 9.4940274848617483e-03 | 
| 6     | 8192  | 16770 | 130         | 129        | 6.2903146367745705e-03 | 
| 7     | 16384 | 33410 | 130         | 257        | 5.5894746586859761e-03 | 
