| cycle | cells | dofs   | dofs(space) | dofs(time) | L2                     | 
| 0     | 512   | 3598   | 14          | 257        | 6.3989917723468213e-06 | 
| 1     | 1024  | 6682   | 26          | 257        | 2.4624754606544005e-04 | 
| 2     | 2048  | 12850  | 50          | 257        | 5.7261050907523115e-03 | 
| 3     | 4096  | 25186  | 98          | 257        | 8.8593087604367151e-03 | 
| 4     | 8192  | 49858  | 194         | 257        | 8.9362151614683083e-03 | 
| 5     | 16384 | 99202  | 386         | 257        | 8.9380997381586658e-03 | 
| 6     | 32768 | 197890 | 770         | 257        | 8.9406012873389819e-03 | 
| 7     | 65536 | 395266 | 1538        | 257        | 8.9510966730602694e-03 | 
